bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1385576,1791,AB1,1,Introduced,2020-12-07,"Hazardous waste.","An act to amend Sections 6103.10 and 11553 of the Government Code, to amend Sections 25160, 25175, 25178.1, 25200, 25200.8, 25201.6, 25205, 25205.2, 25205.5, 25205.5.1, 25205.7, 25205.12, 25205.16, 25205.21, 25205.22, 25207.12, and 25250.24 of, to amend, repeal, and add Section 25174 of, to add Sections 25110.2.1, 25174.01, 25174.02, 25187.3, 25200.05, 25200.25, 25200.27, 25246.1, 25246.2, and 25355.3 to, to add Article 2.1 (commencing with Section 25125) to Chapter 6.5 of Division 20 of, to add and repeal Section 25205.5.01 of, to add and repeal Article 3.1 (commencing with Section 25133) of Chapter 6.5 of Division 20 of, to repeal Sections 25174.1, 25174.2, 25174.6, 25174.7, 25174.11, 25205.3, 25205.4, 25205.9, 25205.14, 25205.15, and 25205.20 of, and to repeal and add Section 25135.9 of, the Health and Safety Code, and to amend Sections 43002.3, 43012, 43101, 43152, 43152.7, and 43152.15 of, and to repeal Sections 43005.5, 43051, 43055, 43151, 43152.11, and 43152.16 of, the Revenue and Taxation Code, relating to hazardous waste.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB1/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB1
1385592,1791,AB2,1,Introduced,2020-12-07,"Regulations: legislative review: regulatory reform.","An act to amend Sections 11343.4 and 11349.3 of, and to add and repeal Chapter 3.6 (commencing with Section 11366) of Part 1 of Division 3 of Title 2 of, the Government Code, relating to state government.",449,"Assembly Appropriations",2021-04-29,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (April 28). Re-referred to Com. on APPR.",https://legiscan.com/CA/bill/AB2/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB2
1385588,1791,AB3,2,Engrossed,2021-04-22,"Exhibition of speed on a highway: punishment.","An act to amend Sections 13352 and 23109 of the Vehicle Code, relating to vehicles.",3948,"Senate Transportation",2021-05-12,"Referred to Coms. on TRANS. and PUB. S.",https://legiscan.com/CA/bill/AB3/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB3
1385528,1791,AB4,1,Introduced,2020-12-07,"Medi-Cal: eligibility.","An act to amend Section 14007.8 of the Welfare and Institutions Code, relating to Medi-Cal.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB4/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB4
1385411,1791,AB5,1,Introduced,2020-12-07,"Greenhouse Gas Reduction Fund: High-Speed Rail Authority: K–12 education: transfer.","An act to amend Section 39719 of the Health and Safety Code, relating to the Greenhouse Gas Reduction Fund.",471,"Assembly Transportation",2021-03-18,"Re-referred to Com. on TRANS.",https://legiscan.com/CA/bill/AB5/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB5
1385584,1791,AB6,1,Introduced,2020-12-07,"Health facilities: pandemics and emergencies: best practices.","An act to add Section 1257.3 to the Health and Safety Code, relating to health facilities.",449,"Assembly Appropriations",2021-04-21,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB6/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB6
1385400,1791,AB7,1,Introduced,2020-12-07,"Emergency ambulance employees: multithreat body protective gear.","An act to add Section 6414 to the Labor Code, relating to emergency ambulance employees.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB7/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB7
1385515,1791,AB8,1,Introduced,2020-12-07,"Unemployment benefits: direct deposit.","An act to amend Section 1339.1 of the Unemployment Insurance Code, relating to unemployment insurance, and declaring the urgency thereof, to take effect immediately.",461,"Assembly Insurance",2021-01-11,"Referred to Com. on INS.",https://legiscan.com/CA/bill/AB8/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB8
1385399,1791,AB9,1,Introduced,2020-12-07,"Fire safety: wildfires: fire adapted communities.","An act to add Article 11 (commencing with Section 4208) to Chapter 1 of Part 2 of Division 4 of the Public Resources Code, relating to fire safety.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB9/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB9
1385452,1791,AB10,1,Introduced,2020-12-07,"Pupil instruction: in-person instruction: distance learning.","An act to amend Sections 43502, 43503, and 43504 of the Education Code, relating to pupil instruction, and declaring the urgency thereof, to take effect immediately.",455,"Assembly Education",2021-01-27,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB10/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB10
