bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1385576,2218947,text,312454,text/html,Introduced,https://legiscan.com/CA/text/AB1/id/2218947,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB1
1385592,2218961,text,17106,text/html,Introduced,https://legiscan.com/CA/text/AB2/id/2218961,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2
1385588,2218957,text,64942,text/html,Introduced,https://legiscan.com/CA/text/AB3/id/2218957,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB3
1385588,2336717,text,73390,text/html,Amended,https://legiscan.com/CA/text/AB3/id/2336717,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB3
1385528,2218906,text,17734,text/html,Introduced,https://legiscan.com/CA/text/AB4/id/2218906,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB4
1385411,2218805,text,13487,text/html,Introduced,https://legiscan.com/CA/text/AB5/id/2218805,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB5
1385411,2339803,text,15426,text/html,Amended,https://legiscan.com/CA/text/AB5/id/2339803,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB5
1385584,2218954,text,4103,text/html,Introduced,https://legiscan.com/CA/text/AB6/id/2218954,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB6
1385400,2218796,text,7348,text/html,Introduced,https://legiscan.com/CA/text/AB7/id/2218796,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB7
1385400,2366064,text,12994,text/html,Amended,https://legiscan.com/CA/text/AB7/id/2366064,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB7
1385515,2218894,text,9549,text/html,Introduced,https://legiscan.com/CA/text/AB8/id/2218894,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB8
1385399,2218795,text,7360,text/html,Introduced,https://legiscan.com/CA/text/AB9/id/2218795,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB9
1385399,2348503,text,18351,text/html,Amended,https://legiscan.com/CA/text/AB9/id/2348503,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB9
1385399,2356751,text,13859,text/html,Amended,https://legiscan.com/CA/text/AB9/id/2356751,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB9
1385399,2375739,text,13619,text/html,Amended,https://legiscan.com/CA/text/AB9/id/2375739,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB9
1385452,2218839,text,26787,text/html,Introduced,https://legiscan.com/CA/text/AB10/id/2218839,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB10
1385452,2238590,text,31169,text/html,Amended,https://legiscan.com/CA/text/AB10/id/2238590,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB10
1385510,2218889,text,7210,text/html,Introduced,https://legiscan.com/CA/text/AB11/id/2218889,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB11
1385510,2253466,text,19846,text/html,Amended,https://legiscan.com/CA/text/AB11/id/2253466,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB11
1385518,2218896,text,9400,text/html,Introduced,https://legiscan.com/CA/text/AB12/id/2218896,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB12
1385518,2346915,text,13820,text/html,Amended,https://legiscan.com/CA/text/AB12/id/2346915,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB12
1385509,2218888,text,15713,text/html,Introduced,https://legiscan.com/CA/text/AB13/id/2218888,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB13
1385509,2348498,text,44271,text/html,Amended,https://legiscan.com/CA/text/AB13/id/2348498,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB13
1385583,2218953,text,90330,text/html,Introduced,https://legiscan.com/CA/text/AB14/id/2218953,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB14
1385413,2218807,text,137752,text/html,Introduced,https://legiscan.com/CA/text/AB15/id/2218807,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB15
1385533,2218911,text,7226,text/html,Introduced,https://legiscan.com/CA/text/AB16/id/2218911,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB16
1385533,2238593,text,13171,text/html,Amended,https://legiscan.com/CA/text/AB16/id/2238593,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB16
1385512,2218891,text,2966,text/html,Introduced,https://legiscan.com/CA/text/AB17/id/2218891,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB17
1385512,2238592,text,70129,text/html,Amended,https://legiscan.com/CA/text/AB17/id/2238592,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB17
1385517,2218895,text,17534,text/html,Introduced,https://legiscan.com/CA/text/AB18/id/2218895,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB18
1385504,2218884,text,9992,text/html,Introduced,https://legiscan.com/CA/text/AB19/id/2218884,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB19
1385578,2218948,text,9765,text/html,Introduced,https://legiscan.com/CA/text/AB20/id/2218948,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB20
1385578,2318308,text,11190,text/html,Amended,https://legiscan.com/CA/text/AB20/id/2318308,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB20
1385549,2218925,text,7577,text/html,Introduced,https://legiscan.com/CA/text/AB21/id/2218925,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB21
1385549,2356656,text,10015,text/html,Amended,https://legiscan.com/CA/text/AB21/id/2356656,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB21
1385431,2218822,text,19291,text/html,Introduced,https://legiscan.com/CA/text/AB22/id/2218822,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB22
1385431,2274010,text,34251,text/html,Amended,https://legiscan.com/CA/text/AB22/id/2274010,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB22
1385431,2350843,text,66821,text/html,Amended,https://legiscan.com/CA/text/AB22/id/2350843,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB22
1385431,2363317,text,58677,text/html,Amended,https://legiscan.com/CA/text/AB22/id/2363317,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB22
1385575,2218946,text,6305,text/html,Introduced,https://legiscan.com/CA/text/AB23/id/2218946,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB23
1385485,2218867,text,8401,text/html,Introduced,https://legiscan.com/CA/text/AB24/id/2218867,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB24
1385514,2218893,text,11188,text/html,Introduced,https://legiscan.com/CA/text/AB25/id/2218893,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB25
1385442,2218831,text,25889,text/html,Introduced,https://legiscan.com/CA/text/AB26/id/2218831,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB26
1385442,2348567,text,23749,text/html,Amended,https://legiscan.com/CA/text/AB26/id/2348567,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB26
1385595,2218963,text,22124,text/html,Introduced,https://legiscan.com/CA/text/AB27/id/2218963,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB27
