bill_id,date,chamber,sequence,action
1385398,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385398,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385398,2021-01-28,Senate,3,"Referred to Com. on RLS."
1385398,2021-02-04,Senate,4,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on RLS."
1385398,2021-02-17,Senate,5,"Re-referred to Com. on N.R. & W."
1385398,2021-03-15,Senate,6,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on N.R. & W."
1385398,2021-03-24,Senate,7,"Set for hearing April 13."
1385398,2021-04-13,Senate,8,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 6. Noes 2.) (April 13). Re-referred to Com. on APPR."
1385398,2021-04-14,Senate,9,"Set for hearing April 19."
1385398,2021-04-20,Senate,10,"April 19 hearing: Placed on APPR suspense file."
1385398,2021-05-14,Senate,11,"Set for hearing May 20."
1385399,2020-12-07,Assembly,1,"Read first time. To print."
1385399,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385399,2021-03-25,Assembly,3,"Referred to Coms. on NAT. RES. and L. GOV."
1385399,2021-03-25,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on NAT. RES. Read second time and amended."
1385399,2021-03-26,Assembly,5,"Re-referred to Com. on NAT. RES."
1385399,2021-04-05,Assembly,6,"From committee chair, with author's amendments: Amend, and re-refer to Com. on NAT. RES. Read second time and amended."
1385399,2021-04-06,Assembly,7,"Re-referred to Com. on NAT. RES."
1385399,2021-04-15,Assembly,8,"From committee: Amend, and do pass as amended and re-refer to Com. on L. GOV. (Ayes 11. Noes 0.) (April 14)."
1385399,2021-04-19,Assembly,9,"Read second time and amended."
1385399,2021-04-20,Assembly,10,"Re-referred to Com. on L. GOV."
1385399,2021-04-29,Assembly,11,"From committee: Do pass and re-refer to Com. on APPR. with recommendation: To Consent Calendar. (Ayes 8. Noes 0.) (April 28). Re-referred to Com. on APPR."
1385399,2021-05-12,Assembly,12,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385400,2020-12-07,Assembly,1,"Read first time. To print."
