bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1385398,1051885,2021-04-13,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",6,2,1,0,9
1385398,1056349,2021-04-19,Senate,"Placed on suspense file",7,0,0,0,7
1385399,1053495,2021-04-14,Assembly,"Do pass as amended and be re-referred to the Committee on [Local Government]",11,0,0,0,11
1385399,1065087,2021-04-28,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",8,0,0,0,8
1385400,1060937,2021-04-22,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",6,0,1,0,7
1385401,988135,2021-01-15,Assembly,"AB 84 Ting Assembly Third Reading",48,13,19,0,80
1385401,1028411,2021-03-15,Senate,"Do pass",13,5,0,0,18
1385401,1050801,2021-04-12,Senate,"Do pass",13,3,2,0,18
1385402,1059244,2021-04-21,Assembly,"Be adopted. To third reading",9,0,0,0,9
1385402,1066773,2021-04-29,Assembly,"AJR 2 O'Donnell Assembly Third Reading",75,0,3,0,78
1385403,1029577,2021-03-16,Senate,"Do pass, but first be re-referred to the Committee on [Governance and Finance]",7,2,0,0,9
1385403,1054638,2021-04-15,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,0,0,5
1385403,1068261,2021-05-03,Senate,"Placed on suspense file",6,0,1,0,7
1385404,1048964,2021-04-08,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1385405,1053488,2021-04-14,Assembly,"Do pass and be re-referred to the Committee on [Human Services]",6,0,1,0,7
1385405,1059302,2021-04-21,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",8,0,0,0,8
1385407,1053515,2021-04-14,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",11,0,0,0,11
1385415,984521,2021-01-11,Assembly,"Be adopted. To third reading",11,0,1,0,12
1385416,1026091,2021-03-10,Senate,"Do pass, but first be re-referred to the Committee on [Public Safety]",7,3,1,0,11
1385416,1046117,2021-04-06,Senate,"Do pass",4,1,0,0,5
