bill_id,people_id,position
1385398,18075,1
1385399,16303,1
1385400,16087,1
1385400,19487,2
1385400,19659,3
1385401,19396,1
1385402,14091,8
1385402,14092,10
1385402,14096,16
1385402,14098,20
1385402,14100,24
1385402,14103,29
1385402,14104,22
1385402,14106,34
1385402,14107,36
1385402,14110,41
1385402,14112,44
1385402,14113,48
1385402,14115,50
1385402,14116,51
1385402,14117,54
1385402,14118,57
1385402,14119,56
1385402,14120,59
1385402,14121,67
1385402,14122,68
1385402,14123,72
1385402,14219,52
1385402,16033,42
1385402,16087,62
1385402,16280,12
1385402,16282,18
1385402,16284,21
1385402,16286,26
1385402,16287,32
1385402,16288,33
1385402,16291,37
1385402,16293,39
1385402,16294,43
1385402,16295,45
1385402,16296,47
1385402,16297,1
1385402,16299,64
1385402,16303,75
1385402,16309,53
1385402,16316,46
1385402,17428,63
1385402,18063,19
1385402,18064,60
1385402,18065,38
1385402,18066,17
1385402,18067,2
1385402,18069,27
1385402,18072,35
1385402,18073,7
1385402,18074,23
1385402,18077,30
1385402,18078,9
1385402,18079,15
1385402,18080,71
1385402,19330,28
1385402,19459,4
1385402,19487,14
1385402,19658,31
1385402,19716,5
1385402,19717,11
1385402,19719,55
1385402,19720,58
1385402,19721,61
1385402,19723,74
1385402,21440,49
1385402,21717,6
1385402,21718,25
1385402,21719,40
1385402,21720,65
1385402,21721,69
1385402,21722,70
1385402,21723,73
1385402,22654,13
1385402,22851,66
1385402,22918,3
1385403,1556,4
1385403,10959,8
1385403,16285,10
1385403,16304,1
1385403,16306,2
1385403,17701,11
1385403,18070,6
1385403,19725,7
1385403,19727,3
1385403,19733,5
1385403,21374,12
1385403,21725,9
1385404,1507,5
1385404,14092,7
1385404,14104,8
1385404,14121,11
1385404,16033,3
1385404,16286,1
1385404,16299,10
1385404,16303,12
1385404,18065,2
1385404,18067,6
1385404,19659,9
1385404,19721,4
1385405,16282,2
1385405,16286,5
1385405,16294,6
1385405,18068,3
1385405,19659,1
1385405,19717,4
1385405,19721,7
1385405,21722,8
1385406,17428,1
1385407,16288,2
1385407,16297,1
1385408,19728,1
1385409,21721,1
1385410,19717,1
1385411,16309,4
1385411,18074,2
1385411,19330,1
1385411,21718,3
1385413,14092,13
1385413,14094,1
1385413,14118,4
1385413,14122,16
1385413,16033,3
1385413,16282,2
1385413,16299,5
1385413,16304,12
1385413,18065,14
1385413,18068,11
1385413,18077,8
1385413,19659,10
1385413,19721,15
1385413,19723,6
1385413,19726,7
1385413,21719,9
1385414,14103,1
1385415,14091,8
1385415,14092,10
1385415,14094,12
1385415,14096,16
1385415,14098,18
1385415,14100,21
1385415,14106,29
1385415,14107,31
1385415,14109,33
1385415,14110,38
1385415,14112,42
1385415,14113,46
1385415,14115,48
1385415,14116,49
1385415,14118,2
1385415,14120,54
1385415,14121,61
1385415,14122,62
1385415,14123,66
1385415,16033,39
1385415,16087,57
1385415,16280,13
1385415,16282,17
1385415,16284,19
1385415,16286,23
1385415,16287,27
1385415,16288,28
1385415,16291,32
1385415,16293,36
1385415,16294,40
1385415,16295,43
1385415,16296,45
1385415,16297,51
1385415,16299,58
1385415,16303,68
1385415,16309,50
1385415,16316,44
1385415,18063,1
1385415,18064,55
1385415,18065,34
1385415,18067,3
1385415,18069,24
1385415,18071,35
1385415,18072,30
1385415,18073,7
1385415,18074,20
1385415,18077,26
1385415,18078,9
1385415,18080,65
1385415,19330,25
1385415,19459,4
1385415,19487,15
1385415,19659,41
1385415,19716,5
1385415,19717,11
1385415,19719,52
1385415,19720,53
1385415,19721,56
1385415,21440,47
1385415,21717,6
1385415,21718,22
1385415,21719,37
1385415,21720,59
1385415,21721,63
1385415,21722,64
1385415,21723,67
1385415,22654,14
1385415,22851,60
1385416,1561,8
1385416,14094,5
1385416,14101,7
1385416,14122,9
1385416,16282,2
1385416,18068,1
1385416,18077,3
1385416,19487,6
1385416,19627,4
1385416,19723,10
1385417,21725,1
1385418,10970,5
1385418,14100,3
1385418,19728,1
1385418,21725,2
1385418,21727,4
1385419,18070,2
1385419,19719,1
1385420,1507,2
1385420,1561,5
1385420,10959,1
1385420,16308,3
1385420,18068,6
1385420,19733,4
1385421,16284,1
1385421,18078,2
1385422,16304,1
1385423,16033,1
1385424,1507,5
1385424,1561,13
1385424,14101,8
1385424,16033,4
1385424,16286,3
1385424,16306,9
1385424,16308,11
1385424,18067,2
1385424,18068,16
1385424,18070,14
1385424,19487,6
1385424,19659,10
1385424,19723,15
1385424,19726,7
1385424,19733,12
1385424,21374,1
1385425,10972,1
1385427,19396,1
1385428,21724,1
1385429,14119,1
1385430,14116,6
1385430,14122,7
1385430,16033,5
1385430,16304,1
1385430,18068,3
1385430,18070,2
1385430,19487,10
1385430,19627,11
1385430,19659,12
1385430,19717,9
1385430,21374,4
1385430,21724,8
1385431,14092,29
1385431,14094,4
1385431,14110,34
1385431,14112,13
1385431,14118,15
1385431,14119,40
1385431,14121,42
1385431,14122,19
1385431,14123,21
1385431,14219,26
1385431,16033,11
1385431,16087,41
1385431,16280,5
1385431,16282,7
1385431,16285,23
1385431,16286,8
1385431,16288,10
1385431,16296,14
1385431,16299,18
1385431,16309,38
1385431,16316,35
1385431,18064,16
1385431,18067,1
1385431,18073,2
1385431,18074,31
1385431,18075,25
1385431,18077,9
1385431,18078,3
1385431,18079,30
1385431,19487,6
1385431,19658,32
1385431,19659,12
1385431,19719,39
1385431,19721,17
1385431,19723,22
1385431,19733,27
1385431,21374,24
1385431,21440,36
1385431,21717,28
1385431,21719,33
1385431,21721,20
1385431,21727,37
1385432,21725,1
1385433,10972,1
1385434,1507,2
1385434,1561,1
1385435,17428,2
1385435,19330,1
1385435,21722,3
1385436,11612,4
1385436,14099,2
1385436,16221,5
1385436,16285,3
1385436,16308,6
1385436,19733,1
1385437,14100,2
1385437,18082,4
1385437,19728,1
1385437,21727,3
1385437,21728,5
1385438,14110,9
1385438,14119,10
1385438,14121,12
1385438,14122,13
1385438,14124,14
1385438,16033,3
1385438,16280,7
1385438,16282,2
1385438,18065,8
1385438,18067,1
1385438,18068,4
1385438,18073,5
1385438,18078,6
1385438,19721,11
1385438,19723,15
1385439,1507,5
1385439,1552,15
1385439,11611,9
1385439,11612,10
1385439,14099,6
1385439,14114,13
1385439,14117,17
1385439,14125,2
1385439,14134,18
1385439,16221,11
1385439,16285,7
1385439,16293,12
1385439,16305,3
1385439,17701,8
1385439,18082,14
1385439,19724,4
1385439,19727,1
1385439,21720,19
1385439,21721,20
1385439,21728,16
1385441,16306,1
1385442,14107,1
1385443,14122,1
1385444,21721,1
1385445,19658,1
1385446,19396,1
1385447,1507,1
1385447,1561,2
1385447,14104,3
1385447,19721,4
1385448,21725,1
1385449,19396,1
1385450,14100,2
1385450,14113,4
1385450,16288,3
1385450,16297,1
1385451,19717,1
1385452,14116,5
1385452,14122,8
1385452,16033,3
1385452,16296,4
1385452,16297,6
1385452,19716,1
1385452,19717,2
1385452,19719,7
1385453,19728,1
1385455,17428,1
1385456,14100,2
1385456,19728,1
1385457,18070,1
1385458,1561,1
1385459,14116,4
1385459,14134,5
1385459,16308,3
1385459,17701,1
1385459,19727,2
1385460,16221,2
1385460,18071,1
1385461,19396,1
1385462,14104,1
1385462,14122,10
1385462,16033,3
1385462,16282,5
1385462,16296,8
1385462,18065,2
1385462,18068,12
1385462,19487,4
1385462,19721,9
1385462,19723,11
1385462,21374,6
1385462,21719,7
1385463,1561,1
1385463,14101,2
1385464,19728,1
1385465,14101,14
1385465,14104,11
1385465,14112,19
1385465,14118,22
1385465,14119,21
1385465,14121,25
1385465,16280,7
1385465,16299,24
1385465,17428,23
1385465,18063,10
1385465,18065,16
1385465,18067,1
1385465,18068,27
1385465,18073,5
1385465,18074,12
1385465,18078,6
1385465,19459,3
1385465,19487,9
1385465,19659,18
1385465,19716,4
1385465,19719,20
1385465,19721,2
1385465,21374,15
1385465,21718,13
1385465,21719,17
1385465,21722,26
1385465,22654,8
1385466,14120,1
1385467,16304,2
1385467,18067,1
1385468,1507,2
1385468,10959,1
1385468,16308,7
1385468,18068,4
1385468,19721,8
1385468,19723,9
1385468,19733,3
1385468,21374,6
1385468,21725,5
1385470,1507,14
1385470,1561,40
1385470,14092,11
1385470,14104,19
1385470,14107,26
1385470,14115,33
1385470,14117,35
1385470,14121,42
1385470,14122,43
1385470,14125,45
1385470,14219,34
1385470,16033,2
1385470,16087,37
1385470,16221,27
1385470,16280,13
1385470,16282,1
1385470,16288,22
1385470,16299,38
1385470,16306,25
1385470,16307,30
1385470,17701,23
1385470,18063,18
1385470,18065,5
1385470,18068,44
1385470,18070,41
1385470,18072,24
1385470,18073,10
1385470,18075,6
1385470,18077,20
1385470,18079,17
1385470,19459,7
1385470,19487,16
1385470,19627,28
1385470,19658,21
1385470,19659,31
